study;ID;ID_study;mean_age_days;age_group;year;published;H_Lab;nationality;scenarios;stimuli;stimuli_2;question;measure;choice_object;xi;ni;s;x1;x2;t
Lucca_et_al_2025;50;15;314;young;2025;yes;yes;Asia;help_hinder;movies;real;Who do you like;reach;shapes;12;25;;;;
Lucca_et_al_2025;50;16;274;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;0;1;;;;
Lucca_et_al_2025;50;17;255;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;6;13;;;;
Lucca_et_al_2025;50;18;247;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;5;6;;;;
Lucca_et_al_2025;50;19;266;young;2025;yes;yes;Oceania;help_hinder;movies;real;Who do you like;reach;shapes;9;18;;;;
Lucca_et_al_2025;50;20;255;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;1;5;;;;
Lucca_et_al_2025;50;21;296;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;5;8;;;;
Lucca_et_al_2025;50;22;280;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;4;6;;;;
Lucca_et_al_2025;50;23;248;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;10;12;;;;
Lucca_et_al_2025;50;24;247;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;2;18;;;;
Lucca_et_al_2025;50;25;233;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;2;8;;;;
Lucca_et_al_2025;50;26;227;young;2025;yes;yes;Oceania;help_hinder;movies;real;Who do you like;reach;shapes;3;5;;;;
Lucca_et_al_2025;50;27;282;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;2;8;;;;
Lucca_et_al_2025;50;28;233;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;4;7;;;;
Lucca_et_al_2025;50;29;223;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;6;10;;;;
