study,ID,ID_study,ppt_grp,mean_age_days,age_group,year,published,H_Lab,H_Lab_narrow,nationality,scenarios,stimuli,stimuli_2,question,measure,choice_object,xi,ni,s,x1,x2,t
Hamlin_et_al_2007,1,1,Expt 1 6mo,185,young,2007,yes,yes,yes,North_America,help_hinder,live_show,real,Other,reach,shapes,12,12,,,,
Hamlin_et_al_2007,1,2,Expt 1 10mo,296,young,2007,yes,yes,yes,North_America,help_hinder,live_show,real,Other,reach,shapes,14,16,,,,
Dunfield_Kuhlmeier_2010,2,1,Expt 1,634,old,2010,yes,no,no,North_America,help_hinder,live_show,real,No,help,experimenters,12,16,,,,
Hamlin_et_al_2010,3,1,Expt 1 Exptal,104,young,2010,yes,yes,yes,North_America,help_hinder,live_show,real,No,visual,shapes,10,12,,13.12,6.22,2.21
Geraci_Surian_2011,4,1,Expt 1 10mo,323,young,2011,yes,no,no,Europe,fair_unfair,movies,cartoon,Other,reach,shapes,9,16,,,,
Geraci_Surian_2011,4,2,Expt 1 16mo,480,old,2011,yes,no,no,Europe,fair_unfair,movies,cartoon,Other,reach,shapes,14,17,,,,
Hamlin_Wynn_2011,5,1,Expt 1 Social 5mo,154,young,2011,yes,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,13,18,,,,
Hamlin_Wynn_2011,5,2,Expt 1 Social 9mo,267,young,2011,yes,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,12,16,,,,
Hamlin_Wynn_2011,5,3,Expt 2 Social 3mo,109,young,2011,yes,yes,yes,North_America,give_take,live_show,real,No,visual,puppets,11,12,,14.29,2.91,4.06
Hamlin_Wynn_2011,5,4,Expt 2 Social 5mo,147,young,2011,yes,yes,yes,North_America,give_take,live_show,real,Who do you like,reach,puppets,10,12,,,,
Hamlin_et_al_2011,6,1,Expt 1 Prosocial 5mo,150,young,2011,yes,yes,yes,North_America,give_take,live_show,real,Who do you like,reach,puppets,12,16,,,,
Hamlin_et_al_2011,6,2,Expt 1 Prosocial 8mo,240,young,2011,yes,yes,yes,North_America,give_take,live_show,real,Who do you like,reach,puppets,12,16,,,,
Hamlin_et_al_2011,6,3,Expt 2,241,young,2011,yes,yes,yes,North_America,give_take,live_show,real,Who do you like,reach,puppets,13,16,,,,
Hamlin_et_al_2011,6,4,Expt 3 Prosocial 19mo,585,old,2011,yes,yes,yes,North_America,give_take,live_show,real,Who do you like,reach,puppets,25,32,,,,
Hamlin_et_al_2011,6,5,Expt 4 Giving,627,old,2011,yes,yes,yes,North_America,give_take,live_show,real,Other,help,puppets,13,16,,,,
Scarf_et_al_2012,7,1,Expt 2 Top,297,young,2012,yes,no,no,Oceania,help_hinder,live_show,real,Other,reach,shapes,12,16,,,,
Scarf_et_al_2012,7,2,Expt 2 Bottom,295,young,2012,yes,no,no,Oceania,help_hinder,live_show,real,Other,reach,shapes,4,16,,,,
Scarf_et_al_2012,7,3,Expt 2 Both,295,young,2012,yes,no,no,Oceania,help_hinder,live_show,real,Other,reach,shapes,8,16,,,,
Dahl_et_al_2013,8,1,17mo,528,old,2013,yes,no,no,North_America,give_take,live_show,real,No,help,experimenters,4,10,,,,
Dahl_et_al_2013,8,2,22mo,660,old,2013,yes,no,no,North_America,give_take,live_show,real,No,help,experimenters,9,12,,,,
Dahl_et_al_2013,8,3,26mo,783,old,2013,yes,no,no,North_America,give_take,live_show,real,No,help,experimenters,11,12,,,,
Hamlin_2013,9,1,Expt 1A 5mo,148,young,2013,yes,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,10,16,,,,
Hamlin_2013,9,2,Expt 1A 8mo,234,young,2013,yes,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,14,16,,,,
Hamlin_2013,9,3,Expt 1B 5mo,150,young,2013,yes,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,8,16,,,,
Hamlin_2013,9,4,Expt 1B 8mo,238,young,2013,yes,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,14,16,,,,
Hamlin_2013,9,5,Expt 2 5mo,152,young,2013,yes,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,6,16,,,,
Hamlin_2013,9,6,Expt 2 8mo,242,young,2013,yes,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,14,16,,,,
Hamlin_2013,9,7,Expt 5,146,young,2013,yes,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,13,16,,,,
Hamlin_et_al_2013,10,1,Preference-Knowledge,303,young,2013,yes,yes,yes,North_America,help_hinder,live_show,real,Who do you like,reach,puppets,24,30,,,,
Buon_et_al_2014,11,1,Expt 2,300,young,2014,yes,no,no,Europe,other,movies,real,No,reach,experimenters,24,34,,,,
Burns_Sommerville_2014,12,1,Expt 1 CF/CUF,460,old,2014,yes,no,no,North_America,fair_unfair,live_show,real,No,reach,experimenters,14,19,,,,
Hamlin 2014,13,1,Expt 1 Prosocial,139,young,2014,yes,yes,yes,North_America,give_take,live_show,real,Who do you like,reach,puppets,25,28,,,,
Hamlin 2014,13,2,Expt 2,139,young,2014,yes,yes,yes,North_America,give_take,live_show,real,Who do you like,reach,puppets,18,27,,,,
Cowell_Decety_2015,14,1,Main,561,old,2015,yes,no,no,North_America,help_hinder,movies,cartoon,NA,reach,shapes,27,54,,,,
Hamlin_2015,15,1,Expt 1 Hamlin,278,young,2015,yes,yes,yes,North_America,help_hinder,movies,real,Who do you like,reach,shapes,20,24,,,,
Hamlin_2015,15,2,Expt 1 Scarf,271,young,2015,yes,yes,yes,North_America,help_hinder,movies,real,Who do you like,reach,shapes,9,24,,,,
Hamlin_2015,15,3,Expt 2 No Bounce,274,young,2015,yes,yes,yes,North_America,help_hinder,movies,real,Who do you like,reach,shapes,19,25,,,,
Hamlin_2015,15,4,Expt 2 Undirected Gaze,280,young,2015,yes,yes,yes,North_America,help_hinder,movies,real,Who do you like,reach,shapes,12,25,,,,
Raggio_et_al_2015,16,1,Main,582,old,2015,yes,no,no,Europe,help_hinder,live_show,real,Who do you like,reach,puppets,3,10,,,,
